Datetime,Outdoor Temperature (°C),Feels Like (°C),Dew Point (°C),Wind Speed (m/sec),Wind Gust (m/sec),Max Daily Gust (m/sec),Wind Direction (°),Hourly Rain (mm/hr),Event Rain (mm),Daily Rain (mm),Weekly Rain (mm),Monthly Rain (mm),Yearly Rain (mm),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Outdoor Battery,Avg Wind Direction (10 mins) (°),Avg Wind Speed (10 mins) (m/sec)
2023-04-01 00:00:00,27.29,30.15,23.15,0.72,1.33,2.55,142.83,0.00,0.00,0.00,1.00,0.00,1093.10,78.25,0.00,0.00,1.00,140.83,0.67
2023-04-01 01:00:00,26.97,29.68,23.23,0.62,0.92,2.60,141.42,0.00,0.00,0.00,1.00,0.00,1093.10,80.25,0.00,0.00,1.00,147.67,0.49
2023-04-01 02:00:00,26.89,29.57,23.32,0.29,0.71,2.60,169.50,0.00,0.00,0.00,1.00,0.00,1093.10,81.08,0.00,0.00,1.00,159.92,0.48
2023-04-01 03:00:00,26.94,29.58,23.12,0.42,0.79,2.60,167.42,0.00,0.00,0.00,1.00,0.00,1093.10,79.92,0.00,0.00,1.00,171.92,0.45
2023-04-01 04:00:00,26.84,29.25,22.77,0.33,0.62,2.60,193.08,0.00,0.00,0.00,1.00,0.00,1093.10,78.58,0.00,0.00,1.00,186.08,0.32
2023-04-01 05:00:00,26.76,29.07,22.95,0.33,0.67,2.60,210.67,0.00,0.00,0.00,1.00,0.00,1093.10,79.75,0.00,0.00,1.00,215.50,0.34
2023-04-01 06:00:00,26.46,27.34,23.41,0.14,0.46,2.60,217.33,0.00,0.00,0.00,1.00,0.00,1093.10,83.25,0.00,21.41,1.00,216.17,0.08
2023-04-01 07:00:00,27.03,30.00,23.68,0.23,0.71,2.60,189.67,0.00,0.00,0.00,1.00,0.00,1093.10,81.92,0.08,60.88,1.00,197.08,0.27
2023-04-01 08:00:00,28.33,31.94,23.29,0.50,1.04,2.60,202.75,0.00,0.00,0.00,1.00,0.00,1093.10,74.33,1.67,223.17,1.00,190.25,0.53
2023-04-01 09:00:00,30.93,34.59,22.14,1.07,2.04,2.85,204.50,0.00,0.00,0.00,1.00,0.00,1093.10,59.83,4.58,518.83,1.00,200.50,0.91
2023-04-01 10:00:00,32.13,35.98,21.97,1.06,1.81,3.10,186.17,0.00,0.00,0.00,1.00,0.00,1093.10,55.17,4.67,535.42,1.00,190.92,0.93
2023-04-01 11:00:00,33.40,38.25,22.62,1.04,1.84,3.10,134.00,0.00,0.00,0.00,1.00,0.00,1093.10,53.50,5.83,662.17,1.00,192.17,0.93
2023-04-01 12:00:00,34.78,40.75,23.28,0.75,1.56,3.10,193.92,0.00,0.00,0.00,1.00,0.00,1093.10,51.50,6.17,682.76,1.00,160.83,0.78
2023-04-01 13:00:00,33.22,38.56,23.09,1.43,3.19,4.52,168.83,0.00,0.00,0.00,1.00,0.00,1093.10,55.67,2.08,266.40,1.00,177.00,1.59
2023-04-01 14:00:00,32.73,37.90,23.10,1.53,2.99,5.60,178.92,0.00,0.00,0.00,1.00,0.00,1093.10,57.08,3.25,379.78,1.00,160.83,1.63
2023-04-01 15:00:00,31.52,35.82,22.64,1.33,2.34,5.60,208.33,0.00,0.00,0.00,1.00,0.00,1093.10,59.58,1.17,169.03,1.00,211.83,1.19
2023-04-01 16:00:00,32.35,37.12,22.87,0.45,0.96,5.60,208.17,0.00,0.00,0.00,1.00,0.00,1093.10,57.50,1.33,200.93,1.00,211.83,0.52
2023-04-01 17:00:00,31.73,36.18,22.72,1.91,3.09,5.93,140.33,0.00,0.00,0.00,1.00,0.00,1093.10,59.00,0.42,96.27,1.00,143.17,1.59
2023-04-01 18:00:00,30.01,34.10,22.96,1.18,2.75,6.10,125.92,0.00,0.00,0.00,1.00,0.00,1093.10,66.08,0.00,5.81,1.00,124.08,1.40
2023-04-01 19:00:00,29.09,33.32,23.53,0.80,1.52,6.10,151.58,0.00,0.00,0.00,1.00,0.00,1093.10,72.08,0.00,0.00,1.00,150.00,0.73
2023-04-01 20:00:00,28.41,32.55,23.88,1.55,2.60,6.10,133.08,0.00,0.00,0.00,1.00,0.00,1093.10,76.58,0.00,0.00,1.00,133.00,1.32
2023-04-01 21:00:00,28.03,31.93,23.91,0.61,1.57,6.10,146.00,0.00,0.00,0.00,1.00,0.00,1093.10,78.42,0.00,0.00,1.00,152.92,0.67
2023-04-01 22:00:00,27.70,31.29,23.75,0.45,0.92,6.10,162.00,0.00,0.00,0.00,1.00,0.00,1093.10,79.25,0.00,0.00,1.00,160.67,0.48
2023-04-01 23:00:00,27.30,30.46,23.64,0.33,0.88,6.10,150.58,0.00,0.00,0.00,1.00,0.00,1093.10,80.50,0.00,0.00,1.00,164.25,0.35
2023-04-02 00:00:00,27.03,29.80,23.27,0.51,1.08,1.83,160.92,0.00,0.00,0.00,0.00,0.00,1093.10,80.00,0.00,0.00,1.00,170.33,0.54
2023-04-02 01:00:00,26.73,28.82,23.16,0.22,0.50,2.00,166.50,0.00,0.00,0.00,0.00,0.00,1093.10,80.83,0.00,0.00,1.00,183.50,0.10
