Datetime,Outdoor Temperature (°C),Feels Like (°C),Dew Point (°C),Wind Speed (m/sec),Wind Gust (m/sec),Max Daily Gust (m/sec),Wind Direction (°),Hourly Rain (mm/hr),Event Rain (mm),Daily Rain (mm),Weekly Rain (mm),Monthly Rain (mm),Yearly Rain (mm),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Outdoor Battery,Avg Wind Direction (10 mins) (°),Avg Wind Speed (10 mins) (m/sec)
2023-06-01 00:00:00,28.82,34.99,25.74,0.07,0.42,0.62,190.08,0.00,0.00,0.00,17.30,0.00,0.00,83.58,0.00,0.00,1.00,195.50,0.00
2023-06-01 01:00:00,28.28,34.16,25.87,0.05,0.46,1.00,206.83,0.00,0.00,0.00,17.30,0.00,0.00,86.92,0.00,0.00,1.00,202.25,0.03
2023-06-01 02:00:00,27.72,33.11,25.84,0.10,0.25,1.00,231.67,0.00,0.00,0.00,17.30,0.00,0.00,89.58,0.00,0.00,1.00,226.42,0.00
2023-06-01 03:00:00,27.24,31.60,25.19,0.28,0.67,1.53,244.42,0.00,0.00,0.00,17.30,0.00,0.00,88.67,0.00,0.00,1.00,248.92,0.18
2023-06-01 04:00:00,27.63,31.13,23.72,0.61,1.12,3.10,246.67,0.00,0.00,0.00,17.30,0.00,0.00,79.42,0.00,0.00,1.00,245.50,0.72
2023-06-01 05:00:00,27.08,29.85,23.17,0.94,1.68,3.10,266.83,0.00,0.00,0.00,17.30,0.00,0.00,79.33,0.00,1.11,1.00,251.42,0.89
2023-06-01 06:00:00,27.22,30.00,22.96,1.30,2.57,3.48,267.17,0.00,0.00,0.00,17.30,0.00,0.00,77.67,0.00,46.21,1.00,277.42,1.24
2023-06-01 07:00:00,28.43,32.01,23.11,1.57,2.71,3.60,261.08,0.00,0.00,0.00,17.30,0.00,0.00,73.00,1.25,163.66,1.00,263.08,1.41
2023-06-01 08:00:00,30.12,35.07,23.74,1.54,3.05,3.73,245.33,0.00,0.00,0.00,17.30,0.00,0.00,68.75,2.83,353.16,1.00,258.75,1.58
2023-06-01 09:00:00,32.16,38.75,24.47,1.57,2.56,4.18,244.25,0.00,0.00,0.00,17.30,0.00,0.00,64.08,4.58,530.41,1.00,259.50,1.44
2023-06-01 10:00:00,33.83,41.57,24.84,1.92,3.64,5.02,258.33,0.00,0.00,0.00,17.30,0.00,0.00,59.58,6.00,674.64,1.00,259.92,1.69
2023-06-01 11:00:00,35.58,44.27,25.07,1.75,3.47,6.60,247.42,0.00,0.00,0.00,17.30,0.00,0.00,54.83,5.92,682.09,1.00,247.83,1.82
2023-06-01 12:00:00,36.71,46.32,25.45,1.93,3.15,6.60,241.25,0.00,0.00,0.00,17.30,0.00,0.00,52.67,5.67,644.01,1.00,234.50,1.49
2023-06-01 13:00:00,38.04,47.92,25.28,1.51,3.32,6.60,248.50,0.00,0.00,0.00,17.30,0.00,0.00,48.58,5.83,647.48,1.00,234.58,1.39
2023-06-01 14:00:00,37.66,45.91,24.30,0.88,2.17,6.60,217.83,0.00,0.00,0.00,17.30,0.00,0.00,46.83,2.42,279.41,1.00,217.25,1.05
2023-06-01 15:00:00,37.29,45.18,24.13,0.55,1.26,6.60,198.42,0.00,0.00,0.00,17.30,0.00,0.00,47.25,0.75,133.29,1.00,194.83,0.63
2023-06-01 16:00:00,32.70,39.08,23.97,1.70,3.82,10.22,239.58,0.00,0.00,0.00,17.30,0.00,0.00,60.58,0.00,32.78,1.00,260.50,1.72
2023-06-01 17:00:00,31.00,36.15,23.61,1.02,1.86,12.80,185.50,0.00,0.00,0.00,17.30,0.00,0.00,65.00,0.00,28.89,1.00,198.33,0.96
2023-06-01 18:00:00,30.66,35.73,23.68,1.32,2.11,12.80,242.50,0.00,0.00,0.00,17.30,0.00,0.00,66.58,0.00,3.12,1.00,232.17,1.04
2023-06-01 19:00:00,29.32,33.15,22.96,1.22,2.91,12.80,252.50,0.00,0.00,0.00,17.30,0.00,0.00,68.67,0.00,0.00,1.00,246.92,1.70
2023-06-01 20:00:00,29.29,32.96,22.78,1.06,1.88,12.80,233.08,0.00,0.00,0.00,17.30,0.00,0.00,68.08,0.00,0.00,1.00,242.92,1.11
2023-06-01 21:00:00,28.99,32.66,22.89,1.12,2.08,12.80,249.67,0.00,0.00,0.00,17.30,0.00,0.00,69.75,0.00,0.00,1.00,237.92,1.09
2023-06-01 22:00:00,28.73,32.38,23.06,0.67,1.43,12.80,248.75,0.00,0.00,0.00,17.30,0.00,0.00,71.42,0.00,0.00,1.00,246.17,0.73
2023-06-01 23:00:00,28.21,31.82,23.32,1.30,2.43,12.80,270.08,0.00,0.00,0.00,17.30,0.00,0.00,74.75,0.00,0.00,1.00,274.33,1.18
2023-06-02 00:00:00,27.97,31.23,23.00,1.81,3.22,4.05,260.50,0.00,0.00,0.00,17.30,0.00,0.00,74.50,0.00,0.00,1.00,275.00,1.62
2023-06-02 01:00:00,27.80,31.06,23.16,1.59,2.99,5.10,261.25,0.00,0.00,0.00,17.30,0.00,0.00,76.08,0.00,0.00,1.00,260.50,1.62
2023-06-02 02:00:00,27.64,30.82,23.18,1.60,2.56,5.10,261.33,0.00,0.00,0.00,17.30,0.00,0.00,76.83,0.00,0.00,1.00,248.75,1.46
2023-06-02 03:00:00,27.56,30.75,23.36,1.28,2.24,5.10,252.42,0.00,0.00,0.00,17.30,0.00,0.00,78.00,0.00,0.00,1.00,273.75,1.27
2023-06-02 04:00:00,27.68,31.07,23.48,1.46,2.61,5.10,244.33,0.00,0.00,0.00,17.30,0.00,0.00,78.00,0.00,0.00,1.00,248.58,1.33
