Datetime,Outdoor Temperature (°C),Feels Like (°C),Dew Point (°C),Wind Speed (m/sec),Wind Gust (m/sec),Max Daily Gust (m/sec),Wind Direction (°),Hourly Rain (mm/hr),Event Rain (mm),Daily Rain (mm),Weekly Rain (mm),Monthly Rain (mm),Yearly Rain (mm),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Outdoor Battery,Avg Wind Direction (10 mins) (°),Avg Wind Speed (10 mins) (m/sec)
2023-03-01 00:00:00,23.88,24.57,21.23,0.25,0.58,0.75,242.25,0.00,0.00,0.00,0.00,0.00,1063.60,85.25,0.00,0.00,1.00,244.42,0.25
2023-03-01 01:00:00,23.71,24.41,21.28,0.03,0.29,1.00,211.83,0.00,0.00,0.00,0.00,0.00,1063.60,86.33,0.00,0.00,1.00,220.58,0.08
2023-03-01 02:00:00,23.62,24.32,21.38,0.03,0.21,1.00,182.17,0.00,0.00,0.00,0.00,0.00,1063.60,87.25,0.00,0.00,1.00,184.00,0.00
2023-03-01 03:00:00,23.41,24.11,21.34,0.08,0.50,1.00,184.17,0.00,0.00,0.00,0.00,0.00,1063.60,88.17,0.00,0.00,1.00,146.92,0.06
2023-03-01 04:00:00,23.07,23.76,21.14,0.10,0.38,1.25,167.50,0.00,0.00,0.00,0.00,0.00,1063.60,88.83,0.00,0.00,1.00,174.00,0.03
2023-03-01 05:00:00,22.53,23.13,20.53,0.12,0.50,1.50,196.25,0.00,0.00,0.00,0.00,0.00,1063.60,88.50,0.00,0.00,1.00,204.00,0.07
2023-03-01 06:00:00,22.26,22.88,20.49,0.04,0.17,1.50,196.00,0.00,0.00,0.00,0.00,0.00,1063.60,89.67,0.00,4.68,1.00,206.58,0.00
2023-03-01 07:00:00,22.89,23.50,20.69,0.05,0.25,1.50,204.08,0.00,0.00,0.00,0.00,0.00,1063.60,87.50,0.17,63.92,1.00,196.42,0.01
2023-03-01 08:00:00,25.28,25.93,21.39,0.49,1.08,2.02,166.67,0.00,0.00,0.00,0.00,0.00,1063.60,79.17,1.33,182.07,1.00,184.92,0.42
2023-03-01 09:00:00,26.67,28.21,21.34,0.93,1.82,3.10,125.25,0.00,0.00,0.00,0.00,0.00,1063.60,72.75,2.67,316.98,1.00,79.58,0.87
2023-03-01 10:00:00,28.53,30.68,20.76,0.97,2.34,4.43,115.67,0.00,0.00,0.00,0.00,0.00,1063.60,62.92,4.08,476.47,1.00,105.50,1.17
2023-03-01 11:00:00,30.34,32.50,20.25,1.43,2.63,4.93,140.42,0.00,0.00,0.00,0.00,0.00,1063.60,55.00,5.92,661.23,1.00,73.00,1.32
2023-03-01 12:00:00,31.30,33.46,20.12,1.64,3.02,5.60,128.67,0.00,0.00,0.00,0.00,0.00,1063.60,51.58,5.83,654.42,1.00,106.25,1.59
2023-03-01 13:00:00,31.76,33.72,19.73,1.41,3.07,5.60,137.33,0.00,0.00,0.00,0.00,0.00,1063.60,49.08,4.25,480.62,1.00,94.17,1.49
2023-03-01 14:00:00,32.61,33.32,17.51,1.74,3.81,6.10,82.25,0.00,0.00,0.00,0.00,0.00,1063.60,40.75,4.92,557.03,1.00,77.92,1.70
2023-03-01 15:00:00,32.52,33.75,18.39,1.50,3.25,6.10,88.00,0.00,0.00,0.00,0.00,0.00,1063.60,43.25,2.58,314.19,1.00,110.67,1.34
2023-03-01 16:00:00,31.90,33.28,18.83,1.64,3.16,6.10,91.83,0.00,0.00,0.00,0.00,0.00,1063.60,46.00,1.25,182.57,1.00,88.83,1.48
2023-03-01 17:00:00,30.79,32.30,19.19,1.34,3.15,6.10,121.17,0.00,0.00,0.00,0.00,0.00,1063.60,50.17,0.17,63.81,1.00,102.08,1.67
2023-03-01 18:00:00,29.11,30.81,19.82,1.37,2.99,6.10,113.92,0.00,0.00,0.00,0.00,0.00,1063.60,57.42,0.00,3.80,1.00,105.50,1.31
2023-03-01 19:00:00,27.66,29.42,20.33,0.88,1.99,6.10,98.33,0.00,0.00,0.00,0.00,0.00,1063.60,64.50,0.00,0.00,1.00,117.17,0.95
2023-03-01 20:00:00,26.28,27.09,20.70,0.93,2.13,6.10,88.92,0.00,0.00,0.00,0.00,0.00,1063.60,71.50,0.00,0.00,1.00,105.58,0.89
2023-03-01 21:00:00,25.16,25.74,20.74,1.32,2.66,6.10,81.50,0.00,0.00,0.00,0.00,0.00,1063.60,76.58,0.00,0.00,1.00,92.08,1.22
2023-03-01 22:00:00,24.20,24.79,20.55,0.87,2.17,6.10,92.33,0.00,0.00,0.00,0.00,0.00,1063.60,80.25,0.00,0.00,1.00,86.00,0.95
2023-03-01 23:00:00,23.43,24.03,20.42,0.36,0.83,6.10,152.25,0.00,0.00,0.00,0.00,0.00,1063.60,83.33,0.00,0.00,1.00,153.67,0.38
2023-03-02 00:00:00,22.78,23.38,20.27,0.17,0.46,1.46,165.67,0.00,0.00,0.00,0.00,0.00,1063.60,85.75,0.00,0.00,1.00,185.67,0.18
2023-03-02 01:00:00,21.97,22.53,19.90,0.04,0.25,1.50,230.25,0.00,0.00,0.00,0.00,0.00,1063.60,88.17,0.00,0.00,1.00,224.00,0.03
2023-03-02 02:00:00,21.13,21.68,19.57,0.18,0.29,1.50,252.50,0.00,0.00,0.00,0.00,0.00,1063.60,90.67,0.00,0.00,1.00,249.92,0.14
2023-03-02 03:00:00,20.98,21.49,19.22,0.16,0.33,1.50,234.75,0.00,0.00,0.00,0.00,0.00,1063.60,89.67,0.00,0.00,1.00,231.08,0.07
2023-03-02 04:00:00,20.49,20.96,18.91,0.04,0.17,1.50,236.17,0.00,0.00,0.00,0.00,0.00,1063.60,90.58,0.00,0.00,1.00,232.33,0.01
2023-03-02 05:00:00,19.97,20.15,18.41,0.29,0.67,1.50,235.58,0.00,0.00,0.00,0.00,0.00,1063.60,90.75,0.00,0.00,1.00,231.92,0.25
2023-03-02 06:00:00,19.48,19.48,18.12,0.47,0.79,1.50,260.50,0.00,0.00,0.00,0.00,0.00,1063.60,91.83,0.00,6.14,1.00,250.83,0.42
2023-03-02 07:00:00,20.79,21.22,18.85,0.58,1.29,1.92,212.33,0.00,0.00,0.00,0.00,0.00,1063.60,88.67,0.00,58.99,1.00,226.25,0.58
2023-03-02 08:00:00,22.87,23.36,19.60,0.75,1.50,2.00,241.08,0.00,0.00,0.00,0.00,0.00,1063.60,82.00,1.58,207.63,1.00,227.50,0.78
2023-03-02 09:00:00,25.90,26.66,19.66,0.69,1.72,2.19,190.25,0.00,0.00,0.00,0.00,0.00,1063.60,68.75,3.25,379.29,1.00,183.92,0.73
2023-03-02 10:00:00,28.29,29.12,17.87,1.43,2.73,4.06,140.50,0.00,0.00,0.00,0.00,0.00,1063.60,53.33,5.42,601.99,1.00,132.42,1.34
2023-03-02 11:00:00,29.74,29.83,16.05,1.99,3.97,6.47,107.75,0.00,0.00,0.00,0.00,0.00,1063.60,43.75,4.50,518.03,1.00,109.67,1.97
2023-03-02 12:00:00,30.31,30.64,16.81,1.83,4.12,6.81,131.42,0.00,0.00,0.00,0.00,0.00,1063.60,44.33,4.50,529.86,1.00,105.50,2.24
2023-03-02 13:00:00,31.23,31.84,17.40,1.89,4.31,7.10,97.58,0.00,0.00,0.00,0.00,0.00,1063.60,43.75,5.50,620.65,1.00,103.83,1.91
2023-03-02 14:00:00,31.79,31.41,14.91,2.23,4.02,7.15,98.83,0.00,0.00,0.00,0.00,0.00,1063.60,36.33,4.83,554.15,1.00,114.25,2.18
2023-03-02 15:00:00,32.00,30.77,11.96,2.05,4.04,7.70,116.00,0.00,0.00,0.00,0.00,0.00,1063.60,29.50,3.17,373.93,1.00,97.08,2.19
