Datetime,Outdoor Temperature (°C),Feels Like (°C),Dew Point (°C),Wind Speed (m/sec),Wind Gust (m/sec),Max Daily Gust (m/sec),Wind Direction (°),Hourly Rain (mm/hr),Event Rain (mm),Daily Rain (mm),Weekly Rain (mm),Monthly Rain (mm),Yearly Rain (mm),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Outdoor Battery,Avg Wind Direction (10 mins) (°),Avg Wind Speed (10 mins) (m/sec)
2023-05-01 00:00:00,27.73,31.52,24.03,0.72,1.21,1.58,147.08,0.00,0.00,0.00,0.00,0.00,1131.40,80.42,0.00,0.00,1.00,151.25,0.69
2023-05-01 01:00:00,27.76,31.22,23.57,0.76,1.72,2.48,161.25,0.00,0.00,0.00,0.00,0.00,1131.40,78.08,0.00,0.00,1.00,156.67,0.92
2023-05-01 02:00:00,27.49,30.77,23.53,0.72,1.29,3.10,159.42,0.00,0.00,0.00,0.00,0.00,1131.40,79.17,0.00,0.00,1.00,163.67,0.79
2023-05-01 03:00:00,27.44,30.51,23.29,0.58,1.56,3.10,185.42,0.00,0.00,0.00,0.00,0.00,1131.40,78.25,0.00,0.00,1.00,189.58,0.68
2023-05-01 04:00:00,27.10,29.77,22.87,0.91,1.76,3.10,173.17,0.00,0.00,0.00,0.00,0.00,1131.40,77.83,0.00,0.00,1.00,175.92,0.94
2023-05-01 05:00:00,26.74,28.48,22.82,0.36,0.83,3.10,229.08,0.00,0.00,0.00,0.00,0.00,1131.40,79.08,0.00,0.07,1.00,220.08,0.47
2023-05-01 06:00:00,26.60,27.84,23.17,0.48,0.71,3.10,262.17,0.00,0.00,0.00,0.00,0.00,1131.40,81.42,0.00,36.06,1.00,245.08,0.36
2023-05-01 07:00:00,27.78,30.93,23.03,0.63,0.96,3.10,257.83,0.00,0.00,0.00,0.00,0.00,1131.40,75.50,1.17,165.58,1.00,267.08,0.56
2023-05-01 08:00:00,29.29,33.68,23.59,0.90,1.54,3.10,226.08,0.00,0.00,0.00,0.00,0.00,1131.40,71.58,3.25,394.25,1.00,225.75,0.88
2023-05-01 09:00:00,30.50,35.51,23.68,0.94,1.68,3.10,209.75,0.00,0.00,0.00,0.00,0.00,1131.40,67.08,4.83,533.67,1.00,211.42,0.88
2023-05-01 10:00:00,32.48,38.35,23.77,0.99,1.54,3.10,184.33,0.00,0.00,0.00,0.00,0.00,1131.40,60.33,6.67,722.68,1.00,191.33,0.97
2023-05-01 11:00:00,33.95,39.63,23.26,0.83,1.64,3.10,192.08,0.00,0.00,0.00,0.00,0.00,1131.40,53.92,6.50,729.02,1.00,214.58,0.86
2023-05-01 12:00:00,35.14,40.18,22.41,1.03,2.11,3.23,203.83,0.00,0.00,0.00,0.00,0.00,1131.40,47.92,6.92,761.11,1.00,200.83,1.07
2023-05-01 13:00:00,34.69,40.43,23.12,1.00,2.03,3.60,163.25,0.00,0.00,0.00,0.00,0.00,1131.40,51.50,3.42,388.30,1.00,146.08,1.02
2023-05-01 14:00:00,29.63,34.07,23.57,1.54,4.05,6.68,84.00,0.00,0.00,0.00,0.00,0.00,1131.40,70.42,0.92,154.49,1.00,52.08,1.72
2023-05-01 15:00:00,25.72,26.53,22.81,2.06,4.42,7.10,80.33,0.30,0.30,0.30,0.30,0.30,1131.70,83.92,0.92,141.76,1.00,85.33,1.92
2023-05-01 16:00:00,26.52,28.11,23.48,1.03,2.02,7.10,157.25,0.00,0.07,0.30,0.30,0.30,1131.70,83.42,0.33,101.38,1.00,158.25,1.14
2023-05-01 17:00:00,27.94,31.89,24.03,0.58,1.21,7.10,235.75,0.00,0.00,0.30,0.30,0.30,1131.70,79.42,0.00,23.19,1.00,227.42,0.61
2023-05-01 18:00:00,26.60,29.13,24.35,0.46,1.18,7.10,134.00,1.75,0.65,0.95,0.95,0.95,1132.35,87.67,0.00,0.69,1.00,149.08,0.42
2023-05-01 19:00:00,25.48,26.54,24.38,0.30,0.92,7.10,121.58,0.30,2.30,2.60,2.60,2.60,1134.00,93.50,0.00,0.00,1.00,145.50,0.22
2023-05-01 20:00:00,25.43,26.46,24.29,0.41,1.56,7.10,139.33,0.00,2.30,2.60,2.60,2.60,1134.00,93.58,0.00,0.00,1.00,106.25,0.41
2023-05-01 21:00:00,25.42,26.35,23.54,0.29,1.01,7.10,162.17,0.00,2.30,2.60,2.60,2.60,1134.00,89.58,0.00,0.00,1.00,127.67,0.28
2023-05-01 22:00:00,25.45,26.43,23.76,0.12,0.25,7.10,179.08,0.50,2.57,2.87,2.87,2.87,1134.27,90.50,0.00,0.00,1.00,183.50,0.04
2023-05-01 23:00:00,25.00,26.00,23.78,0.28,0.58,7.10,252.17,0.20,2.85,3.15,3.15,3.15,1134.55,92.92,0.00,0.00,1.00,239.08,0.22
2023-05-02 00:00:00,24.68,25.68,23.68,0.14,0.33,0.50,231.25,0.00,3.00,0.00,3.30,3.30,1134.70,94.08,0.00,0.00,1.00,230.67,0.10
2023-05-02 01:00:00,24.65,25.65,23.62,0.46,0.83,1.75,252.58,0.30,3.22,0.22,3.52,3.52,1134.92,93.92,0.00,0.00,1.00,245.33,0.32
2023-05-02 02:00:00,24.66,25.57,23.22,0.20,0.50,2.00,200.50,0.00,3.30,0.30,3.60,3.60,1135.00,91.83,0.00,0.00,1.00,208.08,0.07
2023-05-02 03:00:00,24.73,25.64,23.11,0.24,0.46,2.00,223.17,0.00,3.30,0.30,3.60,3.60,1135.00,90.83,0.00,0.00,1.00,220.67,0.11
2023-05-02 04:00:00,24.72,25.69,23.40,0.07,0.33,2.00,187.42,0.00,3.30,0.30,3.60,3.60,1135.00,92.42,0.00,0.00,1.00,197.08,0.07
2023-05-02 05:00:00,24.75,25.69,23.40,0.51,0.88,2.00,154.92,0.00,3.30,0.30,3.60,3.60,1135.00,92.25,0.00,0.00,1.00,163.92,0.27
2023-05-02 06:00:00,24.78,25.71,23.38,0.13,0.92,2.35,152.67,0.00,3.30,0.30,3.60,3.60,1135.00,92.00,0.00,10.41,1.00,136.33,0.31
2023-05-02 07:00:00,24.98,25.88,23.24,0.55,1.30,2.60,152.33,0.00,3.30,0.30,3.60,3.60,1135.00,90.17,0.00,53.04,1.00,155.83,0.62
2023-05-02 08:00:00,25.41,26.31,23.32,0.62,1.30,2.60,148.17,0.00,3.30,0.30,3.60,3.60,1135.00,88.42,0.17,78.96,1.00,142.33,0.68
